mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text
1	0	0	0	0.0	0	1/4	StaffText	3/8	1	1	0					7. Gigue
1	0	0	0	0.5	0	1/4	Chord	3/8	1	1	1/8	1/8	1	0		
2	1	1/2	1/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	1		
2	1	3/2	3/2	0.125	1/4	1/4	Chord	3/8	1	1	1/32	1/32	1	2		
2	1	13/8	13/8	0.125	9/32	9/32	Chord	3/8	1	1	1/32	1/32	1	3		
2	1	7/4	7/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	4		
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	5		
3	2	2	2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	6	ornamentShortTrill	
3	2	3	3	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	7		
3	2	2	2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	8		
3	2	3	3	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	9		
4	3	7/2	7/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	10		
4	3	4	4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	11		
4	3	17/4	17/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	12		
4	3	9/2	9/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	13		
4	3	19/4	19/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	14		
4	3	7/2	7/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	15		
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	16		
5	4	5	5	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	17		
5	4	21/4	21/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	18		
5	4	11/2	11/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	19		
5	4	23/4	23/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	20		
5	4	6	6	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	21		
5	4	25/4	25/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	22		
5	4	5	5	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	23		
6	5	13/2	13/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	24		
6	5	27/4	27/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	25		
6	5	7	7	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	26		
6	5	29/4	29/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	27		
6	5	15/2	15/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	28		
6	5	31/4	31/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	29		
6	5	29/4	29/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	30		
6	5	15/2	15/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	31		
6	5	31/4	31/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	32		
7	6	8	8	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	33		
7	6	33/4	33/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	34		
7	6	17/2	17/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	35		
7	6	35/4	35/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	36		
7	6	9	9	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	37		
7	6	37/4	37/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	38		
7	6	8	8	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	39		
7	6	33/4	33/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	40		
7	6	17/2	17/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	41		
7	6	35/4	35/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	42		
7	6	9	9	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	43		
7	6	37/4	37/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	44		
8	7	19/2	19/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	45		
8	7	39/4	39/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	46		
8	7	10	10	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	47		
8	7	41/4	41/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	48		
8	7	21/2	21/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	49		
8	7	43/4	43/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	50		
8	7	19/2	19/2	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	51		
8	7	39/4	39/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	52		
8	7	10	10	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	53		
8	7	41/4	41/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	54		
8	7	21/2	21/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	55		
8	7	43/4	43/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	56		
9	8	11	11	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	57		
9	8	45/4	45/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	58		
9	8	23/2	23/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	59		
9	8	47/4	47/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	60		
9	8	12	12	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	61		
9	8	49/4	49/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	62		
9	8	11	11	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	63		
9	8	45/4	45/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	64		
9	8	23/2	23/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	65		
9	8	47/4	47/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	66		
9	8	12	12	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	67		
9	8	49/4	49/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	68		
10	9	25/2	25/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	69		
10	9	51/4	51/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	70		
10	9	13	13	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	71		
10	9	53/4	53/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	72		
10	9	27/2	27/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	73		
10	9	55/4	55/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	74		
10	9	25/2	25/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	75		
10	9	13	13	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	76		
10	9	27/2	27/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	77		
11	10	14	14	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	78		
11	10	57/4	57/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	79		
11	10	29/2	29/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	80		
11	10	59/4	59/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	81		
11	10	15	15	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	82		
11	10	61/4	61/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	83		
11	10	14	14	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	84		
11	10	29/2	29/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	85		
11	10	15	15	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	86		
12	11	31/2	31/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	87		
12	11	16	16	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	88		
12	11	33/2	33/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	89		
12	11	31/2	31/2	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	90		
12	11	63/4	63/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	91		
12	11	16	16	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	92		
12	11	65/4	65/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	93		
12	11	33/2	33/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	94		
12	11	67/4	67/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	95		
13	12	17	17	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	96		
13	12	35/2	35/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	97		
13	12	18	18	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	98		
13	12	17	17	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	99		
13	12	69/4	69/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	100		
13	12	35/2	35/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	101		
13	12	71/4	71/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	102		
13	12	18	18	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	103		
13	12	73/4	73/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	104		
14	13	37/2	37/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	105		
14	13	75/4	75/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	106		
14	13	19	19	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	107		
14	13	77/4	77/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	108		
14	13	39/2	39/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	109		
14	13	79/4	79/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	110		
14	13	37/2	37/2	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	111		
14	13	75/4	75/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	112		
14	13	19	19	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	113		
14	13	77/4	77/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	114		
14	13	39/2	39/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	115		
14	13	79/4	79/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	116		
15	14	20	20	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	117		
15	14	81/4	81/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	118		
15	14	41/2	41/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	119		
15	14	83/4	83/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	120		
15	14	21	21	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	121		
15	14	85/4	85/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	122		
15	14	20	20	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	123		
15	14	81/4	81/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	124		
15	14	41/2	41/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	125		
15	14	83/4	83/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	126		
15	14	21	21	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	127		
15	14	85/4	85/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	128		
16	15	43/2	43/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	129		
16	15	87/4	87/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	130		
16	15	22	22	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	131		
16	15	89/4	89/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	132		
16	15	45/2	45/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	133		
16	15	91/4	91/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	134		
16	15	43/2	43/2	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	135		
16	15	87/4	87/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	136		
16	15	22	22	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	137		
16	15	45/2	45/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	138		
17	16	23	23	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	139		
17	16	93/4	93/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	140		
17	16	47/2	47/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	141		
17	16	95/4	95/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	142		
17	16	24	24	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	143		
17	16	97/4	97/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	144		
17	16	23	23	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	145		
17	16	47/2	47/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	146		
17	16	24	24	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	147		
18	17	49/2	49/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	148		
18	17	99/4	99/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	149		
18	17	25	25	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	150		
18	17	101/4	101/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	151		
18	17	51/2	51/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	152		
18	17	49/2	49/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	153		
18	17	51/2	51/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	154		
18	17	103/4	103/4	0.125	5/16	5/16	Chord	3/8	2	1	1/32	1/32	1	155		
18	17	207/8	207/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32	1/32	1	156		
19	18	26	26	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	157		
19	18	105/4	105/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	158		
19	18	53/2	53/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	159		
19	18	107/4	107/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	160		
19	18	27	27	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	161		
19	18	109/4	109/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	162		
19	18	26	26	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	163	ornamentShortTrill	
19	18	27	27	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	164		
20	19	55/2	55/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	165		
20	19	111/4	111/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	166		
20	19	28	28	0.75	1/8	1/8	Chord	3/8	1	1	3/16	1/8	3/2	167	ornamentTrill	
20	19	115/4	115/4	0.125	5/16	5/16	Chord	3/8	1	1	1/32	1/32	1	168		
20	19	231/8	231/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32	1/32	1	169		
20	19	55/2	55/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	170		
20	19	28	28	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	171		
20	19	113/4	113/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	172		
20	19	57/2	57/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	173		
20	19	115/4	115/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	174		
21	20	29	29	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	175		
21	20	59/2	59/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	176		
21	20	30	30	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	177		
21	20	29	29	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	178		
21	20	117/4	117/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	179		
21	20	59/2	59/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	180		
21	20	119/4	119/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	181		
21	20	30	30	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	182		
21	20	121/4	121/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	183		
22	21	61/2	61/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	184		
22	21	31	31	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	185		
22	21	125/4	125/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	186		
22	21	63/2	63/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	187		
22	21	127/4	127/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	188		
22	21	61/2	61/2	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	189		
22	21	123/4	123/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	190		
22	21	31	31	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	191		
22	21	125/4	125/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	192		
22	21	63/2	63/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	193		
22	21	127/4	127/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	194		
23	22	32	32	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	195	ornamentShortTrill	
23	22	32	32	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	196		
23	22	129/4	129/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	197		
23	22	65/2	65/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	198		
23	22	131/4	131/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	199		
23	22	33	33	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	200		
23	22	133/4	133/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	201		
24	23	67/2	67/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	202		
24	23	34	34	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	203		
24	23	137/4	137/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	204		
24	23	69/2	69/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	205		
24	23	139/4	139/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	206		
24	23	67/2	67/2	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	207		
24	23	135/4	135/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	208		
24	23	34	34	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	209		
24	23	137/4	137/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	210		
24	23	69/2	69/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	211		
24	23	139/4	139/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	212		
25	24	35	35	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	213		
25	24	141/4	141/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	214		
25	24	71/2	71/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4	1/4	1	215		
25	24	35	35	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	216		
25	24	141/4	141/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	217		
25	24	71/2	71/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	218		
