mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	3/4	2/2	2	1		A.V{	A	I		V	V						{	M	0	0	1, 5, 2		1	1
2	1	1	2.0	0	0	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
2	1	3	1.0	1/2	1/2	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	1	4	2.0	3/4	3/4	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
3	2	6	1.0	1/4	1/4	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
3	2	7	1.0	1/2	1/2	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	8	1.0	3/4	3/4	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
4	3	9	2.0	0	0	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
4	3	11	1.0	1/2	1/2	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	12	2.0	3/4	3/4	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
5	4	14	1.0	1/4	1/4	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
5	4	15	1.0	1/2	1/2	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	4	16	1.0	3/4	3/4	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
6	5	17	1.0	0	0	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	5	18	1.0	1/4	1/4	2/2	2	1		iv	A	I		iv	iv							m	0	0	-1, -4, 0		-1	-1
6	5	19	1.0	1/2	1/2	2/2	2	1		V43/IV	A	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
6	5	20	1.0	3/4	3/4	2/2	2	1		V7/IV	A	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
7	6	21	1.0	0	0	2/2	2	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
7	6	22	1.0	1/4	1/4	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
7	6	23	1.0	1/2	1/2	2/2	2	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
7	6	24	1.0	3/4	3/4	2/2	2	1		V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
8	7	25	2.0	0	0	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
8	7	27	1.0	1/2	1/2	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	7	28	1.0	3/4	3/4	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
9	8	29	2.0	0	0	2/2	2	1		V|HC}	A	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
9	8	31	1.0	1/2	1/2	2/2	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	8	32	1.0	3/4	3/4	2/2	2	1		V2{	A	I		V2	V		2				{	Mm7	0	0	-1, 1, 5, 2		1	-1
10	9	33	2.0	0	0	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	9	35	1.0	1/2	1/2	2/2	2	1		I64	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
10	9	36	1.0	3/4	3/4	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	10	37	2.0	0	0	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	10	39	1.0	1/2	1/2	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
11	10	40	1.0	3/4	3/4	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
12	11	41	2.0	0	0	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
12	11	43	1.0	1/2	1/2	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	11	44	2.0	3/4	3/4	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
13	12	46	1.0	1/4	1/4	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
13	12	47	1.0	1/2	1/2	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	12	48	1.0	3/4	3/4	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
14	13	49	1.0	0	0	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
14	13	50	1.0	1/4	1/4	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
14	13	51	1.0	1/2	1/2	2/2	2	1		vi6	A	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
14	13	52	1.0	3/4	3/4	2/2	2	1		viio6	A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
15	14	53	1.0	0	0	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	14	54	1.0	1/4	1/4	2/2	2	1		ii6/V	A	I		ii6/V	ii		6		V			m	0	0	0, 4, 3		3	0
15	14	55	1.0	1/2	1/2	2/2	2	1		viio6/V	A	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
15	14	56	1.0	3/4	3/4	2/2	2	1		I6/V	A	I		I6/V	I		6		V			M	0	0	5, 2, 1		1	5
16	15	57	1.0	0	0	2/2	2	1		V2/V	A	I		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
16	15	58	1.0	1/4	1/4	2/2	2	1		I/V	A	I		I/V	I				V			M	0	0	1, 5, 2		1	1
16	15	59	1.0	1/2	1/2	2/2	2	1		V(64)/V	A	I		V(64)/V	V			64	V			M	0	0	2, 1, 5		2	2
16	15	60	1.0	3/4	3/4	2/2	2	1		V/V	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
17	16			0	0	2/2	2	1	1	I/V|PAC}	A	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
17	16			1/2	1/2	2/2	2	1	1	V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
17	16			3/4	3/4	2/2	2	1	1	V2{	A	I		V2	V		2				{	Mm7	0	0	-1, 1, 5, 2		1	-1
18	1			0	0	2/2	2	1	1	I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
18	1			1/2	1/2	2/2	2	1	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
19	16	61	4.0	0	0	2/2	2	1	2	I/V|PAC}	A	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
20	16	64	0.0	0	3/4	2/2	2	1		{	A	I									{		0	0				
21	17	65	2.0	0	0	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
21	17	67	1.0	1/2	1/2	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	17	68	1.0	3/4	3/4	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
22	18	69	2.0	0	0	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
22	18	71	1.0	1/2	1/2	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
22	18	72	1.0	3/4	3/4	2/2	2	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	19	73	2.0	0	0	2/2	2	1		viio/IV	A	I		viio/IV	vii	o			IV			o	0	0	4, 1, -2		4	4
23	19	75	1.0	1/2	1/2	2/2	2	1		V7/IV	A	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
23	19	76	1.0	3/4	3/4	2/2	2	1		V/IV	A	I		V/IV	V				IV			M	0	0	0, 4, 1		0	0
24	20	77	4.0	0	0	2/2	2	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
25	21	81	3.0	0	0	2/2	2	1		IVM7/IV	A	I		IVM7/IV	IV	M	7		IV			MM7	0	0	-2, 2, -1, 3		-2	-2
25	21	84	1.0	3/4	3/4	2/2	2	1		iio/ii	A	I		iio/ii	ii	o			ii			o	0	0	4, 1, -2		4	4
26	22	85	3.0	0	0	2/2	2	1		V7/ii	A	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
26	22	88	1.0	3/4	3/4	2/2	2	1		i/ii	A	I		i/ii	i				ii			m	0	0	2, -1, 3		2	2
27	23	89	1.0	0	0	2/2	2	1		iv6/ii	A	I		iv6/ii	iv		6		ii			m	0	0	-2, 2, 1		1	-2
27	23	90	1.0	1/4	1/4	2/2	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
27	23	91	1.0	1/2	1/2	2/2	2	1		iv7/ii	A	I		iv7/ii	iv		7		ii			mm7	0	0	1, -2, 2, -1		1	1
27	23	92	1.0	3/4	3/4	2/2	2	1		V7/ii	A	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
28	24	93	2.0	0	0	2/2	2	1		i/ii|PAC}{	A	I		i/ii	i				ii	PAC	}{	m	0	0	2, -1, 3		2	2
28	24	95	1.0	1/2	1/2	2/2	2	1		i6/ii	A	I		i6/ii	i		6		ii			m	0	0	-1, 3, 2		2	-1
28	24	96	1.0	3/4	3/4	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
29	25	97	3.0	0	0	2/2	2	1		viio/V	A	I		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
29	25	100	1.0	3/4	3/4	2/2	2	1		V/V	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
30	26	101	2.0	0	0	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
30	26	103	1.0	1/2	1/2	2/2	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
30	26	104	1.0	3/4	3/4	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
31	27	105	3.0	0	0	2/2	2	1		viio	A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
31	27	108	1.0	3/4	3/4	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
32	28	109	2.0	0	0	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
32	28	111	1.0	1/2	1/2	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
32	28	112	1.0	3/4	3/4	2/2	2	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
33	29	113	1.0	0	0	2/2	2	1		I6}{	A	I		I6	I		6				}{	M	0	0	4, 1, 0		0	4
33	29	114	1.0	1/4	1/4	2/2	2	1		ii65	A	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
33	29	115	1.0	1/2	1/2	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
33	29	116	1.0	3/4	3/4	2/2	2	1		ii	A	I		ii	ii							m	0	0	2, -1, 3		2	2
34	30	117	2.0	0	0	2/2	2	1		V7/IV	A	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
34	30	119	1.0	1/2	1/2	2/2	2	1		IV64	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
34	30	120	1.0	3/4	3/4	2/2	2	1		V/IV	A	I		V/IV	V				IV			M	0	0	0, 4, 1		0	0
35	31	121	2.0	0	0	2/2	2	1		IV64	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
35	31	123	1.0	1/2	1/2	2/2	2	1		V/IV	A	I		V/IV	V				IV			M	0	0	0, 4, 1		0	0
35	31	124	1.0	3/4	3/4	2/2	2	1		IV64	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
36	32	125	1.0	0	0	2/2	2	1		V7/IV	A	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
36	32	126	1.0	1/4	1/4	2/2	2	1		V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
36	32	127	1.0	1/2	1/2	2/2	2	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
36	32	128	1.0	3/4	3/4	2/2	2	1		viio6/IV	A	I		viio6/IV	vii	o	6		IV			o	0	0	1, -2, 4		4	1
37	33	129	1.0	0	0	2/2	2	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
37	33	130	1.0	1/4	1/4	2/2	2	1		viio6/IV	A	I		viio6/IV	vii	o	6		IV			o	0	0	1, -2, 4		4	1
37	33	131	1.0	1/2	1/2	2/2	2	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
37	33	132	1.0	3/4	3/4	2/2	2	1		ii/V	A	I		ii/V	ii				V			m	0	0	3, 0, 4		3	3
38	34	133	2.0	0	0	2/2	2	1		V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
38	34	135	1.0	1/2	1/2	2/2	2	1		V64	A	I		V64	V		64					M	0	0	2, 1, 5		1	2
38	34	136	1.0	3/4	3/4	2/2	2	1		V/V	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
39	35	137	2.0	0	0	2/2	2	1		V64	A	I		V64	V		64					M	0	0	2, 1, 5		1	2
39	35	139	1.0	1/2	1/2	2/2	2	1		V/V	A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
39	35	140	1.0	3/4	3/4	2/2	2	1		V64	A	I		V64	V		64					M	0	0	2, 1, 5		1	2
40	36	141	1.0	0	0	2/2	2	1		V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
40	36	142	1.0	1/4	1/4	2/2	2	1		V2/V	A	I		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
40	36	143	1.0	1/2	1/2	2/2	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
40	36	144	1.0	3/4	3/4	2/2	2	1		viio6/V	A	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
41	37	145	3.0	0	0	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
41	37	148	1.0	3/4	3/4	2/2	2	1		I64	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
42	38	149	2.0	0	0	2/2	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
42	38	151	2.0	1/2	1/2	2/2	2	1		V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
43	39	153	1.0	0	0	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
43	39	154	1.0	1/4	1/4	2/2	2	1		ii65	A	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
43	39	155	2.0	1/2	1/2	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
44	40	157	3.0	0	0	2/2	2	1		I|PAC}	A	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
44	40	160	1.0	3/4	3/4	2/2	2	1		I6{	A	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
45	41	161	3.0	0	0	2/2	2	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
45	41	164	1.0	3/4	3/4	2/2	2	1		ii	A	I		ii	ii							m	0	0	2, -1, 3		2	2
46	42	165	3.0	0	0	2/2	2	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
46	42	168	1.0	3/4	3/4	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
47	43	169	1.0	0	0	2/2	2	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
47	43	170	1.0	1/4	1/4	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
47	43	171	1.0	1/2	1/2	2/2	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
47	43	172	1.0	3/4	3/4	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
48	44	173	0.5	0	0	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
48	44	347/2	1.5	1/8	1/8	2/2	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
48	44	175	2.0	1/2	1/2	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
49	45	177	3.0	0	0	2/2	2	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
49	45	180	1.0	3/4	3/4	2/2	2	1		ii	A	I		ii	ii							m	0	0	2, -1, 3		2	2
50	46	181	3.0	0	0	2/2	2	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
50	46	184	1.0	3/4	3/4	2/2	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
51	47	185	1.0	0	0	2/2	2	1		IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
51	47	186	1.0	1/4	1/4	2/2	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
51	47	187	1.0	1/2	1/2	2/2	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
51	47	188	1.0	3/4	3/4	2/2	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
52	48	189	3.0	0	0	2/2	2	1		I|PAC}	A	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
